Alter,Einkommen,Preis,Geschlecht,Zeit,KundeNr,Niederlassung
64,76331.0,108153.91,1.0,52.0,K0630,Baden-Württemberg
53,57988.0,114801.87,1.0,45.0,K0713,Nordrhein-Westfalen
35,58838.0,81539.66,1.0,47.0,K1056,Sachsen
68,89783.0,138190.26,1.0,73.0,K0957,Baden-Württemberg
64,69256.0,110341.3,1.0,47.0,K0110,Berlin
46,47284.0,62114.5,0.0,46.0,K0278,Niedersachsen
66,63799.0,109159.01,1.0,48.0,K0032,Brandenburg
40,47192.0,72220.0,0.0,48.0,K0087,Sachsen
41,42992.0,65811.72,1.0,38.0,K0454,Bayern
37,45503.0,50836.91,1.0,35.0,K0089,Nordrhein-Westfalen
51,66908.0,93021.39,1.0,65.0,K0108,Bayern
38,34983.0,39236.62,0.0,33.0,K0333,Hamburg
43,38995.0,61300.12,1.0,43.0,K0944,Nordrhein-Westfalen
64,60640.0,92602.45,1.0,46.0,K0774,Baden-Württemberg
46,62061.0,105588.24,1.0,43.0,K0716,Nordrhein-Westfalen
55,63152.0,101027.77,1.0,46.0,K1029,Niedersachsen
63,65114.0,102718.58,1.0,47.0,K0466,Berlin
31,45575.0,67425.51,1.0,41.0,K0729,Bayern
39,48855.0,68265.8,1.0,46.0,K0426,Hessen
68,84070.0,122645.18,1.0,63.0,K0573,Brandenburg
68,83899.0,128052.56,0.0,59.0,K0523,Berlin
55,81244.0,108119.52,1.0,58.0,K0614,Hamburg
44,40928.0,68349.12,0.0,36.0,K0938,Niedersachsen
53,30821.0,58450.55,1.0,26.0,K0011,Nordrhein-Westfalen
33,46732.0,78942.39,1.0,37.0,K1094,Berlin
61,59597.0,104647.51,0.0,47.0,K0934,Baden-Württemberg
53,63147.0,105317.06,1.0,47.0,K0725,Hamburg
31,30572.0,47857.93,0.0,31.0,K0328,Thüringen
31,24944.0,31094.22,1.0,35.0,K0179,Hessen
57,37682.0,48170.28,0.0,45.0,K0568,Berlin
42,68945.0,88842.18,1.0,49.0,K0974,Berlin
49,32964.0,49823.49,0.0,29.0,K0591,Bayern
37,55505.0,61612.78,1.0,39.0,K0952,Berlin
40,50626.0,75452.53,1.0,40.0,K0586,Sachsen
43,45517.0,63320.19,0.0,33.0,K0114,Hessen
60,60569.0,89849.34,0.0,52.0,K0843,Brandenburg
68,94307.0,139799.0,0.0,56.0,K0334,Berlin
46,50946.0,83406.88,0.0,32.0,K0050,Nordrhein-Westfalen
63,92456.0,141292.39,0.0,57.0,K0060,Bayern
69,80400.0,120052.16,0.0,54.0,K0945,Berlin
50,55477.0,88889.58,1.0,46.0,K1028,Hamburg
35,25203.0,48554.06,1.0,37.0,K0755,Brandenburg
49,34170.0,53806.21,0.0,30.0,K0274,Hessen
35,53806.0,84195.58,1.0,45.0,K0949,Berlin
50,35262.0,55722.36,0.0,25.0,K0585,Berlin
55,79794.0,118498.73,1.0,54.0,K0784,Hessen
41,46542.0,63477.0,1.0,40.0,K0024,Baden-Württemberg
62,72626.0,109158.35,1.0,59.0,K0219,Baden-Württemberg
68,77118.0,83418.33,1.0,47.0,K0159,Berlin
47,56965.0,86689.81,0.0,41.0,K0532,Niedersachsen
48,67923.0,104683.62,0.0,41.0,K0211,Sachsen
63,55422.0,81784.14,0.0,40.0,K0680,Sachsen
50,64086.0,92285.2,1.0,34.0,K1035,Sachsen
51,72996.0,124497.54,0.0,50.0,K0813,Bayern
34,25970.0,45444.01,0.0,33.0,K0981,Bayern
30,42551.0,58706.65,1.0,46.0,K0084,Niedersachsen
58,73890.0,100147.52,0.0,48.0,K0982,Sachsen
39,59413.0,80369.74,0.0,44.0,K0421,Baden-Württemberg
60,51460.0,80985.24,1.0,31.0,K0834,Sachsen
51,72225.0,120296.65,0.0,52.0,K0826,Nordrhein-Westfalen
46,65611.0,85435.92,1.0,54.0,K0721,Thüringen
61,57745.0,102766.17,1.0,49.0,K0129,Baden-Württemberg
35,38580.0,47131.37,1.0,44.0,K0360,Baden-Württemberg
36,55185.0,64034.01,0.0,50.0,K0276,Nordrhein-Westfalen
58,52599.0,88810.94,1.0,47.0,K0954,Sachsen
32,31090.0,59413.64,1.0,29.0,K0320,Baden-Württemberg
58,59695.0,99547.37,1.0,43.0,K0077,Bayern
66,73497.0,104863.39,1.0,47.0,K0618,Baden-Württemberg
49,40198.0,62115.3,1.0,52.0,K0209,Bayern
37,43760.0,63570.42,1.0,35.0,K0571,Hessen
68,70277.0,130143.33,1.0,48.0,K0221,Bayern
56,66786.0,108886.48,1.0,55.0,K0287,Berlin
47,57545.0,70459.81,1.0,45.0,K0789,Niedersachsen
48,47153.0,67603.44,0.0,20.0,K0378,Sachsen
48,30477.0,53902.36,1.0,29.0,K0244,Niedersachsen
36,47319.0,76696.47,0.0,43.0,K0140,Sachsen
36,39697.0,60883.05,0.0,48.0,K0232,Sachsen
40,59298.0,96941.73,1.0,40.0,K0994,Sachsen
55,88749.0,119134.23,0.0,64.0,K0494,Bayern
35,51556.0,73467.98,1.0,46.0,K0631,Bayern
69,82036.0,118543.95,0.0,52.0,K0372,Berlin
56,69651.0,123769.4,1.0,54.0,K0709,Baden-Württemberg
62,62114.0,87670.86,1.0,44.0,K0271,Berlin
37,37168.0,55031.56,1.0,30.0,K0815,Bayern
31,41983.0,43660.45,1.0,50.0,K0968,Baden-Württemberg
36,46427.0,57408.1,1.0,28.0,K1055,Bayern
70,63937.0,121009.5,0.0,46.0,K0157,Hessen
33,23596.0,44008.34,1.0,27.0,K0862,Baden-Württemberg
56,67000.0,117255.91,1.0,63.0,K0964,Baden-Württemberg
56,57640.0,83811.43,0.0,46.0,K0986,Niedersachsen
65,86078.0,133381.03,0.0,68.0,K1030,Thüringen
55,62380.0,92302.99,0.0,64.0,K0465,Niedersachsen
30,49606.0,76579.11,0.0,34.0,K0079,Baden-Württemberg
32,50330.0,49540.28,1.0,27.0,K0175,Bayern
32,28303.0,57388.47,0.0,26.0,K0809,Bayern
64,93624.0,126237.04,1.0,55.0,K0791,Bayern
64,85374.0,121684.52,1.0,62.0,K0528,Baden-Württemberg
50,41164.0,74268.93,1.0,31.0,K0644,Nordrhein-Westfalen
62,80179.0,138650.02,1.0,56.0,K0332,Niedersachsen
43,44559.0,74144.49,1.0,22.0,K0040,Sachsen
32,40277.0,42093.26,1.0,34.0,K0031,Bayern
63,63391.0,105484.64,0.0,43.0,K0814,Berlin
65,77918.0,104728.1,1.0,62.0,K0137,Nordrhein-Westfalen
35,53464.0,82821.95,1.0,41.0,K0055,Bayern
65,58549.0,97388.62,1.0,38.0,K0812,Baden-Württemberg
34,55070.0,67139.29,0.0,46.0,K0717,Berlin
60,70296.0,94507.15,1.0,46.0,K0526,Niedersachsen
50,70355.0,104977.17,0.0,50.0,K1063,Niedersachsen
51,75335.0,110590.22,0.0,50.0,K0324,Sachsen
47,48751.0,79984.29,1.0,43.0,K0632,Berlin
37,48957.0,76412.36,0.0,36.0,K0004,Bayern
33,35813.0,54223.32,1.0,31.0,K0431,Bayern
70,90763.0,149827.25,1.0,74.0,K0505,Sachsen
36,59150.0,63818.75,0.0,46.0,K1072,Thüringen
30,51957.0,86152.97,1.0,37.0,K0689,Bayern
66,67768.0,125157.59,1.0,54.0,K1014,Sachsen
58,65162.0,106934.76,1.0,56.0,K0261,Bayern
51,54077.0,77842.13,1.0,48.0,K0200,Berlin
55,68245.0,112358.24,0.0,52.0,K0059,Baden-Württemberg
60,68926.0,91715.99,1.0,39.0,K0064,Bayern
67,87538.0,120582.75,1.0,53.0,K0702,Berlin
44,57008.0,77339.83,0.0,43.0,K0714,Thüringen
68,62116.0,98786.45,0.0,44.0,K0366,Hamburg
63,85695.0,114451.46,1.0,61.0,K0101,Brandenburg
61,65117.0,102799.87,0.0,49.0,K0169,Bayern
69,63958.0,106491.22,1.0,42.0,K0540,Nordrhein-Westfalen
51,64228.0,85280.73,0.0,46.0,K0356,Bayern
53,68587.0,94955.06,0.0,61.0,K0248,Hamburg
49,66068.0,93925.34,1.0,51.0,K0569,Berlin
61,74008.0,110730.9,1.0,62.0,K1074,Hessen
61,91903.0,111764.41,0.0,60.0,K0389,Sachsen
40,45828.0,93946.55,1.0,46.0,K1024,Niedersachsen
59,78591.0,121131.95,1.0,66.0,K1080,Nordrhein-Westfalen
49,74627.0,102198.45,1.0,65.0,K0887,Bayern
64,86943.0,126122.42,1.0,68.0,K0480,Thüringen
31,22137.0,38697.44,1.0,20.0,K1046,Nordrhein-Westfalen
43,70304.0,83886.2,1.0,52.0,K0067,Thüringen
37,31911.0,49510.98,0.0,34.0,K0615,Hessen
52,49657.0,89589.3,1.0,46.0,K0068,Nordrhein-Westfalen
45,57880.0,98898.93,0.0,44.0,K0245,Nordrhein-Westfalen
69,89082.0,124730.66,1.0,66.0,K0013,Nordrhein-Westfalen
52,59767.0,90442.28,1.0,52.0,K0355,Berlin
34,51868.0,87676.29,1.0,33.0,K0757,Baden-Württemberg
55,62186.0,90301.78,0.0,38.0,K0463,Niedersachsen
33,45811.0,64066.66,1.0,40.0,K0297,Berlin
59,66293.0,91936.18,0.0,44.0,K0637,Baden-Württemberg
51,65955.0,122657.88,0.0,44.0,K0753,Bayern
30,18515.0,41027.79,1.0,30.0,K0185,Bayern
49,55986.0,71207.17,1.0,37.0,K0343,Bayern
61,72725.0,109982.32,1.0,42.0,K0582,Baden-Württemberg
34,60319.0,77978.88,0.0,51.0,K0238,Niedersachsen
47,55536.0,76897.16,0.0,37.0,K0483,Bayern
62,76222.0,107580.68,1.0,56.0,K1058,Hessen
53,50089.0,90472.38,1.0,39.0,K0322,Bayern
33,38675.0,56493.4,1.0,13.0,K0983,Baden-Württemberg
33,35064.0,48350.07,1.0,39.0,K0925,Berlin
30,42861.0,74561.85,1.0,42.0,K0772,Baden-Württemberg
54,57917.0,94386.02,1.0,47.0,K1007,Niedersachsen
64,78797.0,109839.35,1.0,65.0,K0257,Bayern
59,59443.0,99016.21,0.0,46.0,K0291,Baden-Württemberg
57,56668.0,95820.3,0.0,37.0,K0293,Brandenburg
44,48195.0,85705.57,1.0,29.0,K0003,Hessen
48,44481.0,63604.43,1.0,30.0,K0007,Nordrhein-Westfalen
40,50097.0,73036.86,0.0,38.0,K0902,Hamburg
69,74462.0,110415.92,1.0,36.0,K0391,Berlin
69,88545.0,130019.9,1.0,58.0,K1085,Bayern
60,89512.0,145466.52,1.0,59.0,K0319,Nordrhein-Westfalen
31,37149.0,65317.0,1.0,29.0,K0886,Hamburg
66,77961.0,121393.97,0.0,40.0,K0963,Niedersachsen
31,56282.0,81611.9,0.0,43.0,K0883,Thüringen
61,72965.0,117298.71,0.0,52.0,K0216,Bayern
45,82896.0,116749.66,1.0,53.0,K0266,Thüringen
38,44329.0,48028.91,0.0,29.0,K0534,Hessen
65,80375.0,121858.27,1.0,64.0,K0874,Niedersachsen
30,55132.0,74760.4,0.0,55.0,K0597,Nordrhein-Westfalen
41,53816.0,68749.31,1.0,34.0,K0446,Baden-Württemberg
61,82624.0,134755.8,1.0,59.0,K1100,Berlin
55,75863.0,96369.11,1.0,60.0,K0763,Hessen
46,67111.0,93112.35,1.0,55.0,K0658,Hessen
57,78848.0,122846.97,1.0,59.0,K0300,Sachsen
68,66119.0,107741.21,0.0,59.0,K0799,Brandenburg
57,73224.0,94361.83,1.0,49.0,K0617,Berlin
35,20317.0,60372.24,0.0,24.0,K0368,Hessen
44,42754.0,69418.9,0.0,35.0,K0894,Berlin
43,33444.0,63707.22,1.0,36.0,K0347,Nordrhein-Westfalen
30,47328.0,72459.7,0.0,45.0,K0429,Nordrhein-Westfalen
63,88113.0,123910.94,1.0,72.0,K0705,Baden-Württemberg
54,53037.0,88479.15,1.0,44.0,K0026,Nordrhein-Westfalen
60,94859.0,138156.74,1.0,61.0,K0425,Hessen
60,66507.0,103384.25,1.0,41.0,K0975,Niedersachsen
65,45863.0,88037.39,0.0,47.0,K1011,Brandenburg
37,28037.0,37558.95,0.0,24.0,K0980,Brandenburg
69,89976.0,129284.1,1.0,71.0,K0107,Bayern
33,69142.0,107174.44,1.0,52.0,K0056,Hessen
66,86491.0,127825.69,1.0,59.0,K0381,Nordrhein-Westfalen
48,66286.0,88275.44,1.0,38.0,K0214,Niedersachsen
56,67292.0,90615.29,1.0,54.0,K0121,Bayern
52,43463.0,57784.07,1.0,26.0,K0881,Brandenburg
36,57337.0,95615.03,0.0,53.0,K0553,Berlin
53,54940.0,82628.47,1.0,45.0,K0073,Berlin
42,44277.0,67064.45,1.0,39.0,K0629,Nordrhein-Westfalen
31,38149.0,46875.9,1.0,43.0,K0353,Nordrhein-Westfalen
38,57891.0,73104.4,1.0,38.0,K0508,Bayern
44,56488.0,99913.03,1.0,39.0,K0850,Bayern
57,66341.0,85104.71,0.0,38.0,K0627,Nordrhein-Westfalen
62,79285.0,121004.55,1.0,49.0,K0443,Nordrhein-Westfalen
53,62592.0,93932.46,1.0,48.0,K0307,Baden-Württemberg
63,60374.0,92221.35,1.0,38.0,K0352,Baden-Württemberg
44,63671.0,102706.73,0.0,48.0,K0775,Nordrhein-Westfalen
68,69381.0,102303.37,1.0,45.0,K0524,Berlin
66,74011.0,116589.56,1.0,56.0,K0696,Baden-Württemberg
51,63650.0,95477.5,1.0,54.0,K1069,Baden-Württemberg
62,73034.0,104459.86,1.0,38.0,K0579,Thüringen
60,51150.0,94420.15,1.0,38.0,K0309,Baden-Württemberg
38,45935.0,76303.93,0.0,49.0,K0478,Brandenburg
39,45873.0,75731.69,1.0,47.0,K0061,Hessen
37,38116.0,77480.16,0.0,29.0,K0606,Nordrhein-Westfalen
34,52606.0,83864.29,1.0,42.0,K0093,Bayern
33,35069.0,43110.27,0.0,29.0,K0719,Berlin
43,56948.0,67634.12,1.0,35.0,K0923,Berlin
31,30362.0,34904.28,0.0,31.0,K0783,Niedersachsen
51,68806.0,98128.97,0.0,61.0,K0281,Sachsen
62,86770.0,112809.13,1.0,63.0,K0825,Berlin
63,83693.0,119357.7,1.0,70.0,K0424,Bayern
37,56641.0,59783.06,0.0,50.0,K0345,Bayern
61,60160.0,100767.22,1.0,53.0,K0183,Baden-Württemberg
34,46577.0,71156.2,1.0,30.0,K0544,Hessen
60,62903.0,125573.59,1.0,47.0,K0838,Brandenburg
30,34125.0,46414.4,1.0,30.0,K0111,Nordrhein-Westfalen
43,50963.0,76275.31,0.0,34.0,K0405,Thüringen
32,38008.0,59823.29,1.0,17.0,K0598,Berlin
41,53363.0,75926.68,1.0,38.0,K0533,Brandenburg
53,47966.0,73902.32,1.0,39.0,K0486,Nordrhein-Westfalen
32,45461.0,69182.41,1.0,36.0,K0742,Niedersachsen
47,55494.0,83850.57,0.0,38.0,K0928,Baden-Württemberg
47,55524.0,67983.37,0.0,41.0,K0262,Bayern
70,67872.0,114545.55,0.0,44.0,K0495,Baden-Württemberg
30,54381.0,83223.78,1.0,42.0,K0550,Thüringen
63,66597.0,83837.24,0.0,40.0,K0727,Baden-Württemberg
55,60489.0,105741.8,1.0,47.0,K1003,Bayern
42,53324.0,79456.84,1.0,38.0,K0138,Baden-Württemberg
60,60911.0,97769.6,0.0,52.0,K0596,Baden-Württemberg
62,74323.0,103270.9,1.0,46.0,K0363,Berlin
67,73888.0,111202.84,1.0,51.0,K0896,Baden-Württemberg
64,72974.0,106325.73,1.0,36.0,K0653,Thüringen
39,39225.0,83313.68,1.0,29.0,K0667,Niedersachsen
50,57036.0,95823.72,1.0,40.0,K0671,Hessen
44,52043.0,72895.13,1.0,42.0,K0030,Sachsen
53,49798.0,61329.51,1.0,39.0,K0166,Nordrhein-Westfalen
62,96569.0,140745.65,0.0,80.0,K0249,Bayern
58,59308.0,73667.3,0.0,50.0,K0308,Hamburg
43,50456.0,88108.0,1.0,34.0,K0785,Bayern
48,61627.0,82405.97,1.0,53.0,K0669,Nordrhein-Westfalen
64,63436.0,95562.13,0.0,45.0,K0337,Baden-Württemberg
30,55391.0,61951.79,0.0,39.0,K0868,Brandenburg
38,54535.0,79772.26,1.0,49.0,K0765,Nordrhein-Westfalen
58,49680.0,77792.44,0.0,43.0,K0452,Sachsen
41,39800.0,79421.65,1.0,45.0,K0410,Niedersachsen
42,41390.0,58786.52,1.0,34.0,K0675,Hamburg
50,69342.0,115292.51,0.0,42.0,K0583,Niedersachsen
37,66398.0,101131.52,1.0,46.0,K0066,Nordrhein-Westfalen
42,59171.0,85183.22,1.0,52.0,K0491,Baden-Württemberg
41,42509.0,61738.05,0.0,37.0,K0984,Baden-Württemberg
34,24811.0,57541.73,1.0,12.0,K0395,Hamburg
69,76932.0,133380.54,1.0,48.0,K0255,Bayern
51,48813.0,52577.91,0.0,28.0,K0800,Sachsen
61,49390.0,85180.08,0.0,33.0,K0313,Thüringen
30,50998.0,95539.65,1.0,38.0,K0888,Baden-Württemberg
47,55841.0,70169.26,1.0,60.0,K0222,Baden-Württemberg
30,24933.0,40285.18,0.0,26.0,K0236,Hamburg
57,58882.0,80802.02,1.0,48.0,K0436,Berlin
41,49499.0,77389.91,1.0,34.0,K0602,Hamburg
66,82969.0,138621.96,0.0,62.0,K0306,Hessen
53,44034.0,69020.15,1.0,40.0,K0479,Hamburg
62,65422.0,113261.61,1.0,48.0,K0650,Bayern
56,84320.0,104544.82,1.0,62.0,K1049,Baden-Württemberg
53,63121.0,82460.27,0.0,49.0,K0250,Nordrhein-Westfalen
39,40699.0,66612.75,1.0,34.0,K1038,Niedersachsen
45,45230.0,91201.91,0.0,32.0,K0584,Nordrhein-Westfalen
47,56068.0,88529.55,1.0,52.0,K0072,Hamburg
70,94606.0,139830.32,1.0,58.0,K0095,Berlin
50,47571.0,83365.24,0.0,39.0,K0034,Baden-Württemberg
39,54801.0,84900.44,0.0,42.0,K0722,Baden-Württemberg
54,55785.0,90085.01,1.0,38.0,K0260,Berlin
35,32553.0,66814.09,0.0,19.0,K0205,Nordrhein-Westfalen
55,65084.0,104045.73,1.0,38.0,K0778,Baden-Württemberg
52,61228.0,81411.98,0.0,55.0,K0694,Nordrhein-Westfalen
59,78492.0,122336.16,1.0,56.0,K0768,Berlin
44,46659.0,87048.58,1.0,36.0,K0078,Bayern
37,48042.0,54313.59,1.0,36.0,K0085,Nordrhein-Westfalen
36,60066.0,78126.13,1.0,36.0,K1064,Baden-Württemberg
53,58050.0,78625.3,1.0,37.0,K0083,Niedersachsen
35,48079.0,65670.65,0.0,39.0,K0828,Niedersachsen
34,29899.0,45878.08,0.0,24.0,K0527,Bayern
61,56063.0,98148.54,1.0,44.0,K0679,Berlin
48,34459.0,44237.57,1.0,43.0,K0922,Hessen
45,47515.0,66554.21,0.0,40.0,K0434,Niedersachsen
61,68022.0,77134.04,1.0,67.0,K0428,Nordrhein-Westfalen
46,54548.0,100672.01,1.0,58.0,K0536,Nordrhein-Westfalen
57,65801.0,110519.86,0.0,41.0,K0351,Niedersachsen
36,36269.0,49092.44,0.0,37.0,K0951,Nordrhein-Westfalen
68,93315.0,141822.38,1.0,69.0,K0006,Baden-Württemberg
62,100769.0,125018.41,0.0,71.0,K0311,Niedersachsen
37,55129.0,73887.77,1.0,53.0,K0549,Nordrhein-Westfalen
66,62843.0,113812.63,1.0,53.0,K0105,Berlin
38,47861.0,66834.88,0.0,37.0,K0098,Hessen
45,46099.0,84552.86,0.0,41.0,K0605,Sachsen
55,64604.0,69621.64,0.0,38.0,K0869,Berlin
62,81002.0,115409.9,1.0,54.0,K0315,Bayern
45,46082.0,78379.94,0.0,34.0,K0514,Hamburg
58,75531.0,94646.93,1.0,50.0,K1059,Niedersachsen
43,37376.0,63383.29,1.0,42.0,K0063,Hessen
51,57821.0,93565.3,1.0,43.0,K0282,Nordrhein-Westfalen
46,44038.0,72625.61,1.0,34.0,K0723,Hessen
70,84497.0,116193.41,1.0,69.0,K0267,Baden-Württemberg
56,55688.0,94116.03,0.0,49.0,K0561,Nordrhein-Westfalen
66,65063.0,106463.24,1.0,56.0,K0239,Nordrhein-Westfalen
34,53286.0,57023.34,1.0,40.0,K0430,Bayern
57,42006.0,50508.57,0.0,32.0,K0146,Hessen
52,58873.0,80225.35,1.0,39.0,K1031,Bayern
63,73099.0,118236.17,1.0,51.0,K0651,Bayern
38,33873.0,56924.35,0.0,28.0,K0623,Bayern
43,43130.0,61803.14,0.0,35.0,K0119,Hessen
33,43936.0,78850.36,1.0,45.0,K0676,Berlin
34,39614.0,56174.25,1.0,26.0,K0515,Hessen
40,46710.0,77768.25,0.0,38.0,K0251,Berlin
30,45508.0,64916.89,1.0,38.0,K1073,Bayern
37,38717.0,56575.12,0.0,34.0,K0286,Bayern
66,98881.0,131352.24,1.0,64.0,K0546,Sachsen
40,43750.0,67687.0,1.0,28.0,K0010,Berlin
52,67475.0,93897.2,1.0,37.0,K0458,Niedersachsen
34,43470.0,70250.0,1.0,41.0,K0197,Nordrhein-Westfalen
40,39921.0,65687.09,1.0,45.0,K0731,Nordrhein-Westfalen
64,90952.0,116583.47,0.0,61.0,K0371,Nordrhein-Westfalen
38,46715.0,101650.7,1.0,50.0,K0082,Baden-Württemberg
54,75271.0,122250.09,1.0,60.0,K0390,Brandenburg
52,63079.0,100733.46,1.0,46.0,K0529,Hessen
48,63876.0,90833.08,1.0,51.0,K0590,Bayern
48,54835.0,73324.94,1.0,52.0,K1086,Brandenburg
49,69396.0,86666.48,0.0,52.0,K0993,Berlin
61,79130.0,106664.4,1.0,49.0,K0240,Thüringen
50,32462.0,65554.28,1.0,30.0,K0414,Brandenburg
55,54760.0,86038.6,0.0,45.0,K0212,Bayern
34,24264.0,22580.44,1.0,19.0,K0859,Berlin
68,59046.5,87209.72,0.0,52.0,K0701,Nordrhein-Westfalen
42,52370.0,74270.35,0.0,48.0,K0576,Bayern
52,90021.0,124563.89,1.0,64.0,K0228,Thüringen
58,80881.0,102290.11,1.0,33.0,K1019,Baden-Württemberg
56,68794.0,108744.79,1.0,57.0,K0621,Sachsen
52,53837.0,64750.35,1.0,22.0,K0487,Hamburg
35,48208.0,78096.44,1.0,50.0,K0948,Nordrhein-Westfalen
31,45328.0,68156.01,0.0,39.0,K0178,Hessen
70,82041.0,106587.98,1.0,44.0,K1067,Baden-Württemberg
42,34792.0,71876.74,1.0,27.0,K0539,Niedersachsen
58,73853.0,97928.13,1.0,50.0,K0136,Baden-Württemberg
64,81163.0,124639.62,0.0,60.0,K0589,Nordrhein-Westfalen
69,79059.0,115211.31,0.0,53.0,K0450,Niedersachsen
39,39831.0,56301.97,1.0,41.0,K0808,Nordrhein-Westfalen
39,37905.0,61717.86,1.0,32.0,K1101,Hessen
52,60315.0,106359.99,1.0,40.0,K0008,Berlin
61,64831.0,113585.7,0.0,35.0,K0437,Hessen
42,63657.0,84814.32,1.0,40.0,K0156,Hessen
44,14547.0,28960.3,1.0,29.0,K0708,Nordrhein-Westfalen
51,55866.0,84704.04,0.0,35.0,K0358,Baden-Württemberg
55,56358.0,105656.62,0.0,49.0,K0645,Hamburg
30,49623.0,65451.53,1.0,42.0,K0224,Nordrhein-Westfalen
46,67067.0,88579.71,1.0,45.0,K0330,Thüringen
43,49162.0,84864.12,0.0,43.0,K0594,Thüringen
31,33788.0,67174.26,0.0,28.0,K0543,Nordrhein-Westfalen
69,87922.0,120453.26,0.0,54.0,K0929,Niedersachsen
33,51920.0,54310.26,0.0,38.0,K0555,Baden-Württemberg
37,45690.0,64971.82,1.0,34.0,K0683,Baden-Württemberg
61,64150.0,91908.79,0.0,47.0,K0747,Niedersachsen
31,19138.0,21471.65,0.0,37.0,K0845,Sachsen
55,79452.0,117307.67,1.0,49.0,K0990,Bayern
50,42001.0,69941.72,1.0,29.0,K0697,Bayern
49,63355.0,111931.58,1.0,45.0,K1066,Berlin
67,73998.0,111198.78,1.0,55.0,K0704,Berlin
